week_start,iso_year,iso_week,month,item_name,category,unit_price,total_units_sold,total_revenue,avg_daily_units,weekend_days_count,is_break_week,is_exam_week,is_enrollment_week,demand_label
1/1/2024,2024,1,1,Banana Cue,Snack,15,23,345,3.2857142857142856,2,1,0,1,Low Demand
1/1/2024,2024,1,1,Beef Tapa Rice,Main Meal,75,41,3075,5.857142857142857,2,1,0,1,Low Demand
1/1/2024,2024,1,1,Bottled Water,Beverage,15,38,570,5.428571428571429,2,1,0,1,Low Demand
1/1/2024,2024,1,1,Buko Pandan,Dessert,40,17,680,2.4285714285714284,2,1,0,1,Low Demand
1/1/2024,2024,1,1,Burger Steak,Main Meal,60,33,1980,4.714285714285714,2,1,0,1,Low Demand
1/1/2024,2024,1,1,Chicken Adobo Rice,Main Meal,65,58,3770,8.285714285714286,2,1,0,1,Low Demand
1/1/2024,2024,1,1,Coffee (Hot/Iced),Beverage,25,47,1175,6.714285714285714,2,1,0,1,Low Demand
1/1/2024,2024,1,1,French Fries,Snack,30,14,420,2,2,1,0,1,Low Demand
1/1/2024,2024,1,1,Fried Chicken,Main Meal,60,40,2400,5.714285714285714,2,1,0,1,Low Demand
1/1/2024,2024,1,1,Halo-Halo,Dessert,45,16,720,2.2857142857142856,2,1,0,1,Low Demand
1/1/2024,2024,1,1,Iced Tea,Beverage,15,74,1110,10.571428571428571,2,1,0,1,Low Demand
1/1/2024,2024,1,1,Instant Noodles,Snack,25,70,1750,10,2,1,0,1,Low Demand
1/1/2024,2024,1,1,Lumpia Shanghai,Snack,35,32,1120,4.571428571428571,2,1,0,1,Low Demand
1/1/2024,2024,1,1,Pork Sisig Rice,Main Meal,70,43,3010,6.142857142857143,2,1,0,1,Low Demand
1/1/2024,2024,1,1,Siomai Rice,Snack,40,39,1560,5.571428571428571,2,1,0,1,Low Demand
1/1/2024,2024,1,1,Soft Drinks,Beverage,20,39,780,5.571428571428571,2,1,0,1,Low Demand
1/1/2024,2024,1,1,Spaghetti,Main Meal,50,47,2350,6.714285714285714,2,1,0,1,Low Demand
1/1/2024,2024,1,1,Vegetable Meal,Main Meal,55,27,1485,3.857142857142857,2,1,0,1,Low Demand
1/8/2024,2024,2,1,Banana Cue,Snack,15,156,2340,22.285714285714285,2,0,0,1,High Demand
1/8/2024,2024,2,1,Beef Tapa Rice,Main Meal,75,195,14625,27.857142857142858,2,0,0,1,High Demand
1/8/2024,2024,2,1,Bottled Water,Beverage,15,192,2880,27.428571428571427,2,0,0,1,High Demand
1/8/2024,2024,2,1,Buko Pandan,Dessert,40,65,2600,9.285714285714286,2,0,0,1,Low Demand
1/8/2024,2024,2,1,Burger Steak,Main Meal,60,128,7680,18.285714285714285,2,0,0,1,High Demand
1/8/2024,2024,2,1,Chicken Adobo Rice,Main Meal,65,314,20410,44.857142857142854,2,0,0,1,High Demand
1/8/2024,2024,2,1,Coffee (Hot/Iced),Beverage,25,241,6025,34.42857142857143,2,0,0,1,High Demand
1/8/2024,2024,2,1,French Fries,Snack,30,144,4320,20.571428571428573,2,0,0,1,High Demand
1/8/2024,2024,2,1,Fried Chicken,Main Meal,60,256,15360,36.57142857142857,2,0,0,1,High Demand
1/8/2024,2024,2,1,Halo-Halo,Dessert,45,102,4590,14.571428571428571,2,0,0,1,High Demand
1/8/2024,2024,2,1,Iced Tea,Beverage,15,336,5040,48,2,0,0,1,High Demand
1/8/2024,2024,2,1,Instant Noodles,Snack,25,247,6175,35.285714285714285,2,0,0,1,Low Demand
1/8/2024,2024,2,1,Lumpia Shanghai,Snack,35,167,5845,23.857142857142858,2,0,0,1,High Demand
1/8/2024,2024,2,1,Pork Sisig Rice,Main Meal,70,225,15750,32.142857142857146,2,0,0,1,High Demand
1/8/2024,2024,2,1,Siomai Rice,Snack,40,181,7240,25.857142857142858,2,0,0,1,Low Demand
1/8/2024,2024,2,1,Soft Drinks,Beverage,20,241,4820,34.42857142857143,2,0,0,1,High Demand
1/8/2024,2024,2,1,Spaghetti,Main Meal,50,169,8450,24.142857142857142,2,0,0,1,High Demand
1/8/2024,2024,2,1,Vegetable Meal,Main Meal,55,130,7150,18.571428571428573,2,0,0,1,High Demand
1/15/2024,2024,3,1,Banana Cue,Snack,15,148,2220,21.142857142857142,2,0,0,0,High Demand
1/15/2024,2024,3,1,Beef Tapa Rice,Main Meal,75,152,11400,21.714285714285715,2,0,0,0,Low Demand
1/15/2024,2024,3,1,Bottled Water,Beverage,15,154,2310,22,2,0,0,0,Low Demand
1/15/2024,2024,3,1,Buko Pandan,Dessert,40,64,2560,9.142857142857142,2,0,0,0,Low Demand
1/15/2024,2024,3,1,Burger Steak,Main Meal,60,151,9060,21.571428571428573,2,0,0,0,High Demand
1/15/2024,2024,3,1,Chicken Adobo Rice,Main Meal,65,222,14430,31.714285714285715,2,0,0,0,Low Demand
1/15/2024,2024,3,1,Coffee (Hot/Iced),Beverage,25,217,5425,31,2,0,0,0,Low Demand
1/15/2024,2024,3,1,French Fries,Snack,30,117,3510,16.714285714285715,2,0,0,0,High Demand
